specObjID,plate,mjd,fiberid,redshift
8606477966879512576,7644,57327,360,1.942417
2390381773130328064,2123,53793,350,1.088135
2390399365316372480,2123,53793,414,1.250195
9989112191134226432,8872,57422,466,1.092987
9989112740890040320,8872,57422,468,1.792397
9989121536983062528,8872,57422,500,1.274212
646311391136868352,574,52355,163,1.083523
2722430711322667008,2418,53794,17,1.202406
2722431535956387840,2418,53794,20,1.326662
2722436758636619776,2418,53794,39,1.977109
7213820854052083712,6407,56311,655,1.869251
7213827176243943424,6407,56311,678,1.932306
7213833773313710080,6407,56311,702,1.131596
10748022611831445504,9546,57864,662,1.003568
12430144295499225088,11040,58456,761,1.687416
9318082437769877504,8276,57067,490,1.826816
2374686514069137408,2109,53468,595,1.813012
2374695859917973504,2109,53468,629,1.376062
9068153276424542208,8054,57194,565,1.321229
9068158499104774144,8054,57194,584,1.680395
9068159598616401920,8054,57194,588,1.154948
12069828284306970624,10720,58250,659,1.17219
12069833506987202560,10720,58250,678,1.624136
12069841203568596992,10720,58250,706,1.672108
12069841753324410880,10720,58250,708,1.454507
1657466548744382464,1472,52913,516,1.220121
8235986518013138944,7315,56685,104,1.828288
8235990366303836160,7315,56685,118,1.903473
8235990916059650048,7315,56685,120,1.527981
8235993939716626432,7315,56685,131,1.689978
8235995863861975040,7315,56685,138,1.27165
8235997513129416704,7315,56685,144,1.708513
8236000261908486144,7315,56685,154,1.755644
8236001086542206976,7315,56685,157,1.84836
8236001361420113920,7315,56685,158,1.008544
8236002460931741696,7315,56685,162,1.109655
8236002735809648640,7315,56685,163,1.132825
8236009882635229184,7315,56685,189,1.170921
3515101096609685504,3122,54821,151,1.218996
8605405392867186688,7643,57302,554,1.329459
8605405942623000576,7643,57302,556,1.943398
8605408141646256128,7643,57302,564,1.859006
8605414188960208896,7643,57302,586,1.96025
8605417212617185280,7643,57302,597,1.132377
8605418312128813056,7643,57302,601,1.808736
8605422985053231104,7643,57302,618,1.913051
8605424084564858880,7643,57302,622,1.122525
8605429582122997760,7643,57302,642,1.384358
8605432880657881088,7643,57302,654,1.55994
8605435629436950528,7643,57302,664,1.872965
12770163592944441344,11342,58425,752,1.18673
12770166341723510784,11342,58425,762,1.046617
12770168265868859392,11342,58425,769,1.840024
12770170739770021888,11342,58425,778,1.251409
12770176237328160768,11342,58425,798,1.799761
7568312475831261184,6722,56431,48,1.552163
7568328968505677824,6722,56431,108,1.569446
13120123302353065984,11653,58526,42,1.639471
13120126600887949312,11653,58526,54,1.766316
13120129074789111808,11653,58526,63,1.602381
13120129899422832640,11653,58526,66,1.096819
12749710477141235712,11324,58395,72,1.014213
12749711576652863488,11324,58395,76,1.56161
12749712401286584320,11324,58395,79,1.278353
12749714600309839872,11324,58395,87,1.082517
12749716524455188480,11324,58395,94,1.224202
12749718448600537088,11324,58395,101,1.516678
12749719273234257920,11324,58395,104,1.31775
12749722846647048192,11324,58395,117,1.150913
12749723396402862080,11324,58395,119,1.707743
11515753863169988608,10228,58223,180,1.910379
11515755512437430272,10228,58223,186,1.892854
11515757161704871936,10228,58223,192,1.877951
11515761009995569152,10228,58223,206,1.818779
11515761559751383040,10228,58223,208,1.841975
11515761834629289984,10228,58223,209,1.679066
11515762659263010816,10228,58223,212,1.916597
11515765133164173312,10228,58223,221,1.068453
11515767057309521920,10228,58223,228,1.311095
11515767607065335808,10228,58223,230,1.805867
12070826641502525440,10721,58288,195,1.719797
12070830214915315712,10721,58288,208,1.910059
12070835987351361536,10721,58288,229,1.498726
2030154282103236608,1803,54152,570,1.413858
2030162253562537984,1803,54152,599,1.452729
9068120291075708928,8054,57194,445,1.777
9068124414244313088,8054,57194,460,1.459124
9068131835947800576,8054,57194,487,1.364303
11742128187735562240,10429,58145,429,1.209066
6522533979727616000,5793,56337,712,1.905642
2374668372127279104,2109,53468,529,1.563907
2374676068708673536,2109,53468,557,1.355273
646292149683382272,574,52355,93,1.208788
991925554238220288,881,52368,28,1.64619
645302038959253504,573,52325,587,1.409068
645303688226695168,573,52325,593,1.54998
645307811395299328,573,52325,608,1.012187
645308910906927104,573,52325,612,1.431535
12746314086226352128,11321,58425,4,1.762867
12746320408418211840,11321,58425,27,1.726411
2736014353202440192,2430,53815,282,1.566883
2736021774905927680,2430,53815,309,1.513644
2736022599539648512,2430,53815,312,1.680651
2736025073440811008,2430,53815,321,1.226745
2736028921731508224,2430,53815,335,1.883484
12771292241714239488,11343,58430,762,1.738951
12771292516592146432,11343,58430,763,1.801494
12771298838784006144,11343,58430,786,1.688156
12771299938295633920,11343,58430,790,1.744229
12771301587563075584,11343,58430,796,1.620002
12771303511708424192,11343,58430,803,1.86017
12771305435853772800,11343,58430,810,1.375319
